list_name,name,label::english,governorate,district,subdistrict,label::arabic
subdistrict,YE110723,Al Wadi - Al Makhadir,YE11,YE1107,,الوادي - المخادر
subdistrict,YE110724,Bidah,YE11,YE1107,,بضعه
subdistrict,YE110725,Dhari Othman,YE11,YE1107,,ذاري عثمان
subdistrict,YE110726,As Safi,YE11,YE1107,,الصفي
subdistrict,YE110727,Al Mahram,YE11,YE1107,,المحرم
subdistrict,YE110728,Al Mishar - Al Makhadir,YE11,YE1107,,المعشار - المخادر
subdistrict,YE110729,Jabal Aqd,YE11,YE1107,,جبل عقد
subdistrict,YE110730,Bani Sarhah,YE11,YE1107,,بني سرحه
subdistrict,YE110821,Rub Dhalmah,YE11,YE1108,,ربع ظلمه
subdistrict,YE110822,Jabal Amiqah,YE11,YE1108,,جبل عميقه
subdistrict,YE110823,Bani Main,YE11,YE1108,,بني معين
subdistrict,YE110824,Bani Ad Dahatin,YE11,YE1108,,بني الضاحتين
subdistrict,YE110825,Saer,YE11,YE1108,,صائر
subdistrict,YE110826,Jabal Khadraa,YE11,YE1108,,جبل خضراء
subdistrict,YE110827,Naqil Al Oqab,YE11,YE1108,,نقيل العقاب
subdistrict,YE110828,Al Farai,YE11,YE1108,,الفراعي
subdistrict,YE110829,Al Salq,YE11,YE1108,,السلق
subdistrict,YE110830,Wadi Al Miqab,YE11,YE1108,,وادي المعقاب
subdistrict,YE110831,Al Jaafirah - Hobeish,YE11,YE1108,,الجعافره - حبيش
subdistrict,YE110832,Shiba,YE11,YE1108,,شباع
subdistrict,YE110833,Adh Dharihi,YE11,YE1108,,الذارحي
subdistrict,YE110834,At Tafadi,YE11,YE1108,,التفادي
subdistrict,YE110835,Kawman,YE11,YE1108,,كومان
subdistrict,YE110836,Al Watah,YE11,YE1108,,الوطئه
subdistrict,YE110837,Qahzah,YE11,YE1108,,قحزه
subdistrict,YE110838,Al Mushayriq,YE11,YE1108,,المشيرق
subdistrict,YE110839,As Sadr,YE11,YE1108,,الصدر
subdistrict,YE110840,Al Aridah - Hobeish,YE11,YE1108,,العارضه - حبيش
subdistrict,YE110841,An Nahyah,YE11,YE1108,,الناحيه
subdistrict,YE110842,Bani Shabib,YE11,YE1108,,بني شبيب
subdistrict,YE110921,Haqin,YE11,YE1109,,حقين
subdistrict,YE110922,Bani Wail,YE11,YE1109,,بني وائل
subdistrict,YE110923,Bani Al Fakhr,YE11,YE1109,,بني الفخر
subdistrict,YE110924,Al Abun,YE11,YE1109,,الابعون
subdistrict,YE110925,Halimah,YE11,YE1109,,حليمه
subdistrict,YE110926,Yaris - Hazm Al Odayn,YE11,YE1109,,يريس - حزم العدين
subdistrict,YE110927,Bani Ali - Hazm Al Odayn,YE11,YE1109,,بني على - حزم العدين
subdistrict,YE110928,Bani Sulayman - Hazm Al Odayn,YE11,YE1109,,بني سليمان - حزم العدين
subdistrict,YE110929,Ash Shaawir,YE11,YE1109,,الشعاور
subdistrict,YE110930,As Saydam,YE11,YE1109,,السيدم
subdistrict,YE110931,Jabal Harim,YE11,YE1109,,جبل حريم
subdistrict,YE110932,Al Mazariqah,YE11,YE1109,,المزارقه
subdistrict,YE110933,Al Ahkum - Hazm Al Odayn,YE11,YE1109,,الاحكوم - حزم العدين
subdistrict,YE110934,Bani Asad - Hazm Al Odayn,YE11,YE1109,,بني اسعد - حزم العدين
subdistrict,YE110935,Al Mujahadah - Hazm Al Odayn,YE11,YE1109,,المجاهده - حزم العدين
subdistrict,YE110936,Al Maidhah,YE11,YE1109,,المعيظه
subdistrict,YE110937,Ash Sharqi - Hazm Al Odayn,YE11,YE1109,,الشرقي - حزم العدين
subdistrict,YE110938,Al Asyur,YE11,YE1109,,الاصيور
