list_name,name,label::english,governorate
district,YE2804,Al Ghaydah,YE28
district,YE2806,Al Masilah,YE28
district,YE2802,Hat,YE28
district,YE2803,Hawf,YE28
district,YE2809,Huswain,YE28
district,YE2805,Man'ar,YE28
district,YE2808,Qishn,YE28
district,YE2807,Sayhut,YE28
district,YE2801,Shahan,YE28
district,YE2903,Al Ashah,YE29
district,YE2906,Al Madan,YE29
district,YE2904,Al Qaflah,YE29
district,YE2915,Amran,YE29
district,YE2914,As Sawd,YE29
district,YE2913,As Sudah,YE29
district,YE2920,Bani Suraim,YE29
district,YE2909,Dhi Bin,YE29
district,YE2908,Habur Zulaymah,YE29
district,YE2901,Harf Sufyan,YE29
district,YE2902,Huth,YE29
district,YE2918,Iyal Surayh,YE29
district,YE2912,Jabal Iyal Yazid,YE29
district,YE2919,Khamir,YE29
district,YE2910,Kharif,YE29
district,YE2916,Maswar,YE29
district,YE2911,Raydah,YE29
district,YE2905,Shaharah,YE29
district,YE2907,Suwayr,YE29
district,YE2917,Thula,YE29
district,YE3006,Ad Dhale'e,YE30
district,YE3008,Al Azariq,YE30
district,YE3009,Al Husha,YE30
district,YE3005,Al Hussein,YE30
district,YE3004,Ash Shu'ayb,YE30
district,YE3002,Damt,YE30
district,YE3007,Jahaf,YE30
district,YE3001,Juban,YE30
district,YE3003,Qa'atabah,YE30
district,YE3103,Al Jabin,YE31
district,YE3106,Al Jafariyah,YE31
district,YE3102,As Salafiyah,YE31
district,YE3101,Bilad At Ta'am,YE31
district,YE3105,Kusmah,YE31
district,YE3104,Mazhar,YE31
district,YE3201,Hidaybu,YE32
district,YE3202,Qulensya Wa Abd Al Kuri,YE32
subdistrict,YE110130,Alkirabuh,
subdistrict,YE110129,Alnnakhluh,
subdistrict,YE110127,Bani Eumar Aleali,
subdistrict,YE110128,Bani Eumar Alssafil,
subdistrict,YE110131,Bani Jamaeih,
subdistrict,YE110126,Bani Mbarz,
subdistrict,YE110132,Bani Muhda,
subdistrict,YE110122,Bani Muraghm,
subdistrict,YE110125,Bani Muslim,
subdistrict,YE110135,Bani Sawi,
subdistrict,YE110123,Bani Sayf Aleali,
subdistrict,YE110121,Bani Sayf Alssafil,
subdistrict,YE110124,Bani Subba',
subdistrict,YE110134,Hamir,
subdistrict,YE110133,Mudhajin,
subdistrict,YE110231,Aryab,
subdistrict,YE110226,Bani Eumar,
subdistrict,YE110230,Bani Munabah,
subdistrict,YE110224,Eabaydah,
subdistrict,YE110225,Eiras,
subdistrict,YE110222,Khaw,
subdistrict,YE110229,Khudan,
subdistrict,YE110223,Raein,
subdistrict,YE110221,Yurim,
subdistrict,YE110324,Albikruh,
subdistrict,YE110326,'Azal,
subdistrict,YE110321,Bani Qays,
subdistrict,YE110325,Eajib,
subdistrict,YE110329,Harith Alhaydri,
subdistrict,YE110323,Kahlan,
subdistrict,YE110322,Shayzar,
subdistrict,YE110327,Sudan,
subdistrict,YE110328,Yahir,
subdistrict,YE110426,Aleariduh,
subdistrict,YE110424,Alfajruh,
subdistrict,YE110430,Almuftah Alaely,
subdistrict,YE110425,Alshsharinmuh Aleulya,
subdistrict,YE110423,Alzzamazimuh,
subdistrict,YE110433,Eamqah,
subdistrict,YE110421,Haddah,
subdistrict,YE110427,Hazib,
subdistrict,YE110432,Malik,
subdistrict,YE110429,Maqnae Alaely,
subdistrict,YE110422,Shaeb Almarysaa,
subdistrict,YE110434,Shakhib,
subdistrict,YE110428,Sharih,
subdistrict,YE110431,Zalam,
subdistrict,YE110521,Alamluk,
subdistrict,YE110528,Aleabs,
subdistrict,YE110525,Almuftah,
subdistrict,YE110526,Alqabil Alaely,
subdistrict,YE110523,Alqabil Al'Asfal,
subdistrict,YE110527,Alwasat,
subdistrict,YE110522,Bayt Alssayidaa,
subdistrict,YE110524,Muqannae,
subdistrict,YE110625,Alaiemas,
subdistrict,YE110632,Aleirafuh,
subdistrict,YE110629,Almirkham,
subdistrict,YE110623,Alttawyataa,
subdistrict,YE110624,Alzzuela',
subdistrict,YE110627,Bani Aleuthmanin,
subdistrict,YE110628,Bani Al-Harith,
subdistrict,YE110631,Jabal Alhibali,
subdistrict,YE110630,Jabal Eisam,
subdistrict,YE110626,Jabal Hujaj,
subdistrict,YE110622,Wadi Alhabali,
subdistrict,YE110633,Wadi Eisam,
subdistrict,YE110621,Wadi Hujaj,
subdistrict,YE110728,Almieshar,
subdistrict,YE110727,Almuharram,
subdistrict,YE110722,Alshsharaf,
subdistrict,YE110726,Alssifi,
subdistrict,YE110721,Alssuhul,
subdistrict,YE110723,Alwadi,
subdistrict,YE110724,Badaeih,
subdistrict,YE110730,Bani Sarahah,
subdistrict,YE110725,Dhari Euthman,
subdistrict,YE110729,Jabal Eaqd,
subdistrict,YE110833,Aldhdhirahi,
subdistrict,YE110828,Alfiraei,
subdistrict,YE110831,Aljaeafiruh,
subdistrict,YE110843,Aljiblin,
subdistrict,YE110838,Almushayraq,
subdistrict,YE110841,Alnnahih,
subdistrict,YE110839,Alsdr,
subdistrict,YE182321,Al Hodeidah - Al Hali,
subdistrict,YE182221,Al Hodeidah - Al Mina,
subdistrict,YE110829,Alssalaq,
subdistrict,YE110834,Alttafadi,
subdistrict,YE110836,Alwatayih,
subdistrict,YE110824,Bani Alddahatayn,
subdistrict,YE110823,Bani Mmaein,
subdistrict,YE110842,Bani Shbyb,
subdistrict,YE110822,Jabal Eumqih,
subdistrict,YE110826,Jabal Khadara',
subdistrict,YE110835,Kuman,
subdistrict,YE110827,Nuqil Aleiqab,
subdistrict,YE110837,Qahazah,
subdistrict,YE110821,Rubue Zulmih,
subdistrict,YE110825,Sayir,
subdistrict,YE110832,Shubbae,
subdistrict,YE110830,Wadi Almieqab,
subdistrict,YE110924,Alabeun,
